KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"70368";"Shell Station ";"Passiva";"Kreditor";"Kreditor"
"70369";"P0C0 EinrichtüngsMärkte GmbH Filiale Ber1in-Kreuzber0";"Passiva";"Kreditor";"Kreditor"
"70370";"SHELL STATI0N M. Scheffel Tankstellen GmbH";"Passiva";"Kreditor";"Kreditor"
"70371";"Total Energies Station Steven Hanke";"Passiva";"Kreditor";"Kreditor"
"70372";"Sprint Tankstelle Christoph Plöhn";"Passiva";"Kreditor";"Kreditor"
"70373";"Kremer Hausverwaltungen GmbH";"Passiva";"Kreditor";"Kreditor"
"70374";"SHELL STATI0N m. Scheffel Tankstellen Gcbil";"Passiva";"Kreditor";"Kreditor"
"70375";"lila Bäcker";"Passiva";"Kreditor";"Kreditor"
"70376";"Schmitt's Allerlei";"Passiva";"Kreditor";"Kreditor"
"70377";"Restaurant Meilenstein";"Passiva";"Kreditor";"Kreditor"
"70378";"TotalEnergies Tankstelle Sabine Elss";"Passiva";"Kreditor";"Kreditor"
"70379";"Jagdhaus Restaurant";"Passiva";"Kreditor";"Kreditor"
"70380";"Lydia Dienert TotalEnergies Station";"Passiva";"Kreditor";"Kreditor"
"70381";"0BI Fillaie Fillaie Berlin";"Passiva";"Kreditor";"Kreditor"
"70382";"Alnatur Super Natur Markt";"Passiva";"Kreditor";"Kreditor"
"70383";"Aral Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70384";"Aral Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70385";"ESSO Station Stephanie John";"Passiva";"Kreditor";"Kreditor"
"70386";"EDEKA Fil. 54E0";"Passiva";"Kreditor";"Kreditor"
"70387";"HEM-Tankstelle Lychen";"Passiva";"Kreditor";"Kreditor"
"70388";"Obeta Elektro Vertriebsgesellschaft mbH";"Passiva";"Kreditor";"Kreditor"
"70389";"0BI GmbH & Co. Deutschland KG, Filiale Berlin";"Passiva";"Kreditor";"Kreditor"
"70390";"Fairmount GmbH";"Passiva";"Kreditor";"Kreditor"
"70391";"KUN0ENBELEG SUN Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70392";"ESS0 Stati0n Monika Beddig ESSO STATI0N";"Passiva";"Kreditor";"Kreditor"
"70393";"Norma";"Passiva";"Kreditor";"Kreditor"
"70394";"Rewe";"Passiva";"Kreditor";"Kreditor"
"70395";"Bad�Apotheke'";"Passiva";"Kreditor";"Kreditor"
"70396";"Flink SE ";"Passiva";"Kreditor";"Kreditor"
"70397";"MyHammer GmbH";"Passiva";"Kreditor";"Kreditor"
"70398";"SelfStorage Dein Lagerraum GmbH";"Passiva";"Kreditor";"Kreditor"
"70399";"EN Leads GmbH";"Passiva";"Kreditor";"Kreditor"
"70400";"Apple";"Passiva";"Kreditor";"Kreditor"
"70401";"1&1 Telecom GmbH";"Passiva";"Kreditor";"Kreditor"
"70402";"HDI Versicherung AG";"Passiva";"Kreditor";"Kreditor"
"70403";"ENJOY KEBAB";"Passiva";"Kreditor";"Kreditor"
"70404";"Pizza luna ";"Passiva";"Kreditor";"Kreditor"
"70405";"Rewe Schneider";"Passiva";"Kreditor";"Kreditor"
"70406";"HELLWEG";"Passiva";"Kreditor";"Kreditor"
"70407";"Presse & Tabak-Center";"Passiva";"Kreditor";"Kreditor"
"70408";"star- TarKstelle Felix Riehs";"Passiva";"Kreditor";"Kreditor"
"70409";"TotalEnergies Tankstelle";"Passiva";"Kreditor";"Kreditor"
"70410";"Bauhaus mbH & Co. KG Hasenheide";"Passiva";"Kreditor";"Kreditor"
"70411";"SUN lankstelle";"Passiva";"Kreditor";"Kreditor"
"70412";"Bauhaus 643 BERLIN-KUDAMM";"Passiva";"Kreditor";"Kreditor"
"70413";"TotalEnergies Station Lydia Dienert";"Passiva";"Kreditor";"Kreditor"
"70414";"Bauhaus 623 BERLIN-SPANDAU";"Passiva";"Kreditor";"Kreditor"
"70415";"KIEZKNEIPE";"Passiva";"Kreditor";"Kreditor"
"70416";"TotalEnergies Tankstelle Antje Waterstradt";"Passiva";"Kreditor";"Kreditor"
"70417";"HEM Bozena Bober";"Passiva";"Kreditor";"Kreditor"
"70418";"Aral Tankstelle Sven Polster-Aheimer";"Passiva";"Kreditor";"Kreditor"
"70419";"Die Blume Soujke Belling";"Passiva";"Kreditor";"Kreditor"
"70420";"Kaufland";"Passiva";"Kreditor";"Kreditor"
"70421";"REWE Pilaske 0HG";"Passiva";"Kreditor";"Kreditor"
"70422";"Bauhaus mbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70423";"Digistore GmbH";"Passiva";"Kreditor";"Kreditor"
"70424";"sipgate GmbH";"Passiva";"Kreditor";"Kreditor"
"70425";"IONOS SE";"Passiva";"Kreditor";"Kreditor"
"70426";"Wolt Enterprises Deutschland GmbH";"Passiva";"Kreditor";"Kreditor"
